,class,xbox,ybox,width,height,onpixel,xbar,ybar,xvar,yvar,xycorr,x2ybar,xy2bar,xedge,xedgeycorr,yedge,yedgexcorr
1506,16,2,4,4,2,2,8,10,2,2,6,9,8,6,11,0,8
1507,6,5,8,7,6,6,8,6,6,6,9,7,7,3,8,7,8
1508,22,3,4,4,5,3,8,8,6,2,5,7,10,3,9,5,10
1509,11,2,2,3,3,2,7,7,8,4,7,6,8,2,8,3,8
1510,3,3,7,4,5,3,8,8,6,4,7,6,6,5,9,1,6
1511,1,2,8,2,6,2,7,7,0,7,7,6,8,0,8,3,8
1512,3,4,5,5,4,3,7,8,6,5,7,6,6,6,9,2,5
1513,23,4,5,5,3,2,3,8,4,6,11,11,9,3,9,1,6
1514,25,4,7,6,5,5,8,8,5,3,6,4,6,4,8,8,3
1515,24,4,10,5,8,4,3,6,7,4,7,7,12,3,8,3,11
1516,14,4,6,4,4,2,3,9,5,8,10,10,12,1,8,3,7
1517,3,4,5,7,4,3,6,10,3,5,10,8,7,5,8,1,7
1518,24,3,5,5,4,3,6,7,1,7,10,7,10,3,8,3,8
1519,14,4,7,5,5,2,4,9,6,8,12,10,12,1,9,3,7
1520,12,4,6,5,4,3,10,7,3,6,10,3,6,3,7,4,10
1521,11,6,9,6,7,4,8,6,8,5,10,6,10,3,8,4,6
1522,22,1,0,2,1,1,8,7,6,4,6,6,8,2,8,3,8
1523,1,1,4,2,3,1,7,8,0,6,13,6,8,0,8,0,8
1524,16,4,10,6,7,4,11,8,5,2,7,9,8,8,10,0,8
1525,10,2,1,3,2,2,8,7,3,8,6,6,8,2,8,5,8
1526,0,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8
1527,12,4,6,4,4,2,6,12,8,3,7,3,9,2,7,5,11
1528,8,3,6,5,4,4,8,8,4,3,8,4,7,4,9,5,4
1529,24,5,9,8,7,5,8,6,1,7,10,3,9,5,6,6,10
1530,8,3,9,4,7,1,12,2,9,4,13,7,13,1,6,0,8
1531,19,3,5,5,4,3,7,7,2,7,11,6,8,2,9,5,8
1532,7,1,0,2,0,0,7,4,2,0,7,2,8,1,6,1,8
1533,14,5,7,5,5,3,5,8,6,8,12,9,13,1,9,3,7
1534,10,3,6,4,4,2,7,7,4,4,7,6,8,2,8,4,8
1535,17,2,7,3,5,2,5,5,3,8,3,2,7,0,6,2,6
1536,5,3,5,5,3,2,7,7,3,7,11,5,8,1,8,5,8
1537,3,2,1,2,2,1,7,7,12,1,5,6,8,5,8,0,8
1538,13,3,6,4,4,3,5,10,2,6,10,9,6,1,10,3,6
1539,5,6,9,8,7,5,6,7,4,7,10,10,9,2,9,5,5
1540,24,3,6,4,4,3,6,7,5,7,7,6,10,3,8,5,9
1541,11,5,9,6,6,8,7,8,5,1,7,7,8,8,9,6,10
1542,8,5,10,7,8,5,9,4,5,6,8,5,6,2,8,4,6
1543,0,3,4,4,2,1,5,11,2,7,11,9,5,1,10,2,5
1544,15,5,8,7,6,6,4,9,3,5,10,9,9,3,8,3,5
1545,25,2,0,2,1,1,7,7,3,11,8,6,8,0,8,7,8
1546,10,7,15,8,8,5,6,8,2,8,11,7,8,4,9,4,6
1547,13,3,5,4,7,2,0,14,4,4,12,11,6,0,8,2,6
1548,2,6,11,8,8,8,10,7,4,6,9,3,6,3,8,3,8
1549,14,3,10,5,8,4,5,8,7,6,9,8,14,2,9,4,10
1550,6,3,7,3,5,3,6,8,9,6,6,5,7,2,8,8,9
1551,14,4,9,6,6,7,7,7,4,3,6,7,10,8,10,6,6
1552,15,5,10,5,8,5,8,7,13,1,7,7,8,3,8,0,8
1553,0,3,3,3,2,1,5,12,3,5,11,9,4,2,11,1,5
1554,8,2,7,3,5,2,9,6,1,6,11,4,8,0,7,1,7
1555,5,2,3,2,1,1,8,8,6,5,7,5,7,2,8,8,8
1556,9,3,2,4,3,3,8,6,5,3,7,7,9,9,5,1,8
1557,15,2,3,4,1,2,8,7,3,6,10,5,7,3,8,2,7
1558,3,4,7,4,5,3,8,8,12,1,6,6,7,5,8,0,9
1559,24,3,6,5,4,5,6,7,3,6,6,5,8,3,8,4,9
1560,7,2,5,4,3,2,10,2,3,2,10,2,9,2,6,2,8
1561,2,1,1,2,2,1,6,7,8,6,6,6,6,2,8,3,8
1562,18,4,6,6,4,3,8,10,3,5,13,4,3,1,10,3,9
1563,1,1,4,3,3,1,7,7,1,7,14,6,8,0,8,1,8
1564,8,6,11,5,8,4,9,8,2,3,12,5,6,2,9,7,9
1565,8,2,10,3,8,2,12,3,7,3,12,5,11,1,6,0,8
1566,13,3,8,3,6,1,1,13,5,3,12,10,6,0,8,2,6
1567,24,6,7,8,5,5,7,8,2,7,10,5,9,4,7,3,7
1568,16,4,9,6,6,3,4,8,5,1,7,9,8,8,10,0,8
1569,20,4,5,7,8,2,7,8,4,3,7,14,8,3,9,0,8
1570,1,1,1,1,1,0,7,7,2,8,7,6,8,0,8,3,8
1571,11,2,3,3,2,2,7,7,7,5,7,6,8,2,8,3,8
1572,18,4,7,6,5,3,7,11,5,4,12,4,1,1,10,3,8
1573,16,4,4,6,6,3,8,8,4,1,7,8,8,8,9,0,8
1574,23,4,8,5,6,5,7,6,9,5,7,6,9,4,9,6,4
1575,11,3,8,4,6,3,7,7,8,4,10,6,8,3,8,3,7
1576,23,5,9,7,6,4,4,8,7,9,9,10,11,3,9,1,7
1577,1,3,9,4,6,2,7,8,0,8,14,6,6,0,8,1,7
1578,10,2,3,3,2,1,7,7,1,8,10,6,8,2,8,2,7
1579,8,2,8,3,6,2,9,6,3,6,11,4,9,1,6,2,6
1580,6,4,2,5,4,4,8,7,5,6,6,5,5,2,8,7,10
1581,22,2,3,3,4,2,7,9,4,1,7,8,10,2,9,4,8
1582,4,4,7,4,5,3,7,6,6,6,10,6,12,2,10,4,9
1583,22,7,8,7,9,7,8,7,6,2,7,7,11,5,9,7,7
1584,8,7,11,9,8,6,9,4,5,6,8,5,6,2,7,5,6
1585,2,8,12,8,6,4,11,3,3,6,10,2,8,4,7,3,12
1586,23,4,10,6,7,9,10,8,4,4,5,8,8,9,8,8,6
1587,18,4,10,5,8,4,6,10,6,5,9,7,3,2,10,4,7
1588,10,4,8,5,6,1,7,7,4,4,7,6,8,3,8,4,8
1589,6,3,6,4,4,4,8,7,5,6,7,6,6,2,8,6,9
1590,4,4,8,5,6,3,7,7,8,6,7,6,12,3,8,4,9
1591,16,3,4,5,6,3,6,8,4,1,7,8,8,8,10,0,8
1592,4,2,4,3,3,2,6,7,5,5,9,7,10,2,9,4,9
1593,7,4,9,5,6,4,7,5,3,0,6,1,8,2,7,1,7
1594,12,4,8,6,6,6,6,7,5,6,7,6,7,3,7,5,9
1595,6,2,4,3,2,2,10,7,2,6,10,4,6,2,8,4,10
1596,10,8,11,7,6,3,7,7,2,9,9,7,9,4,11,4,7
1597,3,3,4,5,3,2,6,9,3,4,11,8,8,5,7,1,8
1598,24,7,10,10,7,8,8,6,1,7,9,5,9,5,7,5,8
1599,6,4,8,6,6,6,7,8,6,4,7,5,6,4,7,6,6
1600,19,3,7,4,5,3,4,9,2,8,10,8,10,2,8,4,5
1601,19,4,8,4,6,2,3,6,6,11,7,7,15,0,8,7,7
1602,16,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8
1603,7,3,9,5,7,3,13,3,3,2,11,1,8,2,6,3,9
1604,23,3,5,4,4,2,6,8,6,7,7,9,9,3,9,1,8
1605,9,3,4,5,2,3,8,6,6,4,7,7,9,9,5,2,8
1606,8,5,9,7,7,3,9,6,3,7,15,5,10,1,6,1,7
1607,14,5,4,6,6,2,6,7,7,11,7,6,14,1,8,4,9
1608,9,3,6,4,4,4,7,6,6,4,6,7,8,7,5,2,7
1609,18,4,7,6,5,3,8,9,3,5,13,5,4,1,10,2,8
1610,1,1,5,1,3,1,7,7,1,7,7,6,8,0,8,3,8
1611,2,5,10,7,7,6,11,6,2,6,11,3,7,3,8,3,9
1612,19,5,11,7,8,5,5,9,4,9,11,9,8,3,8,5,5
1613,5,4,7,5,5,3,10,6,4,8,11,3,8,2,8,5,10
1614,1,3,8,6,6,5,8,8,4,5,9,6,4,5,10,4,6
1615,16,8,13,8,7,5,4,8,1,3,8,9,8,9,11,2,5
1616,14,3,7,4,5,2,3,8,5,8,9,9,13,1,8,3,7
1617,13,4,9,4,6,2,1,13,5,3,12,10,6,0,8,2,6
1618,14,3,7,4,5,2,3,9,6,7,11,11,11,1,8,2,6
1619,25,4,8,5,6,3,7,7,3,12,9,6,8,0,8,8,8
1620,13,5,10,7,8,5,8,9,2,6,13,6,5,2,10,2,8
1621,12,7,11,10,8,11,5,8,3,5,6,5,10,8,9,9,6
1622,7,5,10,8,8,5,11,3,1,2,8,2,9,4,6,3,8
1623,20,5,9,5,7,4,3,11,2,3,9,11,8,2,11,1,8
1624,25,4,5,5,8,2,7,7,4,14,9,6,8,0,8,8,8
1625,1,1,3,2,2,1,7,8,0,6,13,6,7,0,8,0,7
1626,11,10,13,7,8,4,7,7,5,5,8,4,7,5,9,6,8
1627,2,1,0,1,0,0,6,7,6,4,7,6,6,2,8,2,8
1628,9,3,4,4,2,3,7,6,6,4,6,7,8,6,6,2,8
1629,5,6,12,6,6,3,7,8,3,6,13,6,7,2,8,3,7
1630,19,6,10,9,8,6,4,9,4,9,12,10,9,3,8,5,5
1631,2,6,11,9,8,8,7,8,6,6,10,7,5,7,9,6,11
1632,1,2,5,4,4,1,7,7,0,7,13,6,8,0,8,1,8
1633,22,5,5,7,8,4,8,9,7,6,6,8,9,3,7,6,10
1634,9,5,5,6,8,4,7,7,12,2,7,9,8,9,6,0,8
1635,18,4,7,5,5,3,6,10,7,3,10,5,4,2,10,3,8
1636,3,6,10,9,8,5,8,8,3,5,10,5,6,6,8,2,7
1637,13,5,5,5,7,2,1,14,5,4,12,10,6,0,8,2,5
1638,18,6,10,8,8,5,6,12,5,3,12,5,2,1,11,3,8
1639,0,5,10,6,8,4,7,9,0,8,11,9,6,1,10,3,4
1640,23,2,6,3,4,1,8,5,13,5,6,13,8,3,9,0,8
1641,11,4,10,6,8,3,8,8,9,8,6,7,10,3,8,4,8
1642,11,5,9,6,6,5,7,7,7,4,9,6,10,4,8,4,7
1643,5,5,10,7,7,4,9,6,3,7,10,6,9,2,10,5,9
1644,10,3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8
1645,6,4,10,5,8,6,8,7,7,6,7,6,6,2,8,7,10
1646,3,3,2,3,3,2,7,8,5,4,7,6,7,4,8,1,7
1647,10,3,7,5,5,3,8,7,4,9,6,6,8,3,8,7,9
1648,22,3,6,4,6,2,8,6,8,6,6,6,8,3,8,4,8
1649,18,2,1,2,2,1,5,10,4,4,9,7,4,1,10,3,7
1650,17,5,10,7,8,4,7,3,2,9,7,1,9,1,6,3,7
1651,16,3,5,5,4,4,9,11,3,2,5,9,7,7,11,1,8
1652,3,3,7,5,5,3,6,9,6,5,8,7,8,5,8,1,7
1653,11,4,9,5,6,4,8,7,8,5,7,7,7,3,8,3,8
1654,20,7,11,9,8,6,5,12,3,2,9,10,7,5,10,6,8
1655,4,4,8,6,6,3,6,6,6,7,7,5,9,3,10,4,8
1656,13,3,4,3,5,1,1,14,5,3,12,9,5,0,8,2,6
1657,17,2,4,4,3,2,6,4,1,8,8,2,11,0,7,2,8
1658,6,4,5,5,8,4,6,7,10,7,7,6,7,2,8,9,9
1659,1,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
1660,10,4,4,5,6,1,7,7,5,4,7,6,8,3,8,4,8
1661,2,4,8,5,6,8,9,7,5,5,7,6,6,4,7,7,6
1662,1,1,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8
1663,2,2,7,4,5,4,7,7,4,6,7,6,6,3,8,2,7
1664,14,6,11,7,8,4,5,8,8,9,9,9,13,2,9,4,9
1665,4,4,6,5,4,3,6,7,6,6,9,8,9,2,8,4,9
1666,20,1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8
1667,0,5,5,5,4,2,5,12,3,7,12,9,4,1,11,1,5
1668,24,5,7,7,5,4,4,8,2,7,10,10,11,3,8,4,6
1669,14,7,11,7,8,4,5,7,6,8,12,9,14,2,10,4,7
1670,25,4,5,5,7,2,7,7,4,15,9,6,8,0,8,8,8
1671,16,6,10,6,8,7,4,10,3,2,9,7,8,8,12,3,5
1672,19,4,9,4,7,3,3,8,6,12,7,5,15,0,8,7,7
1673,6,7,12,6,6,4,8,6,4,5,10,5,8,6,7,7,10
1674,6,4,7,6,5,4,10,6,3,7,10,4,7,3,8,5,11
1675,24,2,1,3,3,2,6,7,4,7,7,6,10,3,8,5,9
1676,9,2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7
1677,15,4,4,6,6,5,9,9,3,1,7,7,8,4,9,8,8
1678,14,6,8,8,7,7,5,7,4,5,7,6,11,4,9,8,9
1679,20,7,12,7,6,4,9,8,4,5,8,8,5,6,10,3,6
1680,13,4,10,6,8,3,4,13,6,5,12,10,3,2,10,2,4
1681,0,3,8,4,6,2,9,13,0,5,6,10,8,0,8,0,8
1682,21,5,10,7,8,3,7,10,1,3,7,12,8,1,11,0,8
1683,13,3,7,3,4,1,2,14,5,2,12,9,4,0,8,3,6
1684,10,2,3,3,2,2,8,7,3,8,6,6,6,2,8,6,8
1685,2,5,8,7,6,6,8,7,5,6,9,4,5,3,8,4,9
1686,12,2,0,2,1,1,6,10,7,2,7,5,7,2,7,4,9
1687,21,1,3,2,2,1,6,11,1,7,8,11,9,1,11,2,8
1688,10,4,8,6,6,4,7,7,3,9,5,6,8,3,8,7,8
1689,11,4,6,4,4,4,6,9,7,4,9,8,8,3,8,3,7
1690,14,8,12,5,7,3,5,10,6,8,11,8,8,1,8,6,8
1691,15,3,3,4,4,2,7,7,14,1,7,6,8,3,8,0,8
1692,7,3,9,5,7,3,9,3,2,2,8,1,8,2,6,3,7
1693,10,6,10,9,8,4,5,8,2,9,11,12,10,4,7,4,5
1694,12,5,8,8,7,8,8,8,3,3,7,5,8,7,8,6,4
1695,0,5,7,6,6,6,5,8,4,8,9,7,10,3,7,7,5
1696,14,5,4,6,7,2,7,6,7,11,9,5,13,1,9,4,8
1697,2,8,14,8,8,4,11,4,3,6,10,2,7,5,7,4,12
1698,3,1,3,3,2,1,5,9,3,3,10,8,8,4,8,0,7
1699,7,4,6,6,5,5,8,8,3,5,7,8,7,5,10,4,6
1700,7,3,8,5,6,3,7,5,3,0,7,1,8,2,7,1,8
1701,7,3,11,6,8,4,12,2,2,2,9,2,9,2,6,3,8
1702,6,4,9,6,7,5,8,7,6,6,9,6,6,3,8,7,8
1703,20,1,0,2,0,0,8,9,3,2,6,12,8,2,10,0,8
1704,2,5,5,6,7,3,5,7,10,10,6,6,6,3,8,4,8
1705,10,2,3,3,2,2,7,7,3,9,6,6,8,2,8,5,8
1706,2,6,11,6,6,3,10,4,3,6,9,3,7,4,7,4,11
1707,8,2,5,4,4,1,9,6,2,7,14,5,10,1,6,1,7
1708,15,5,11,5,8,3,7,9,15,2,7,3,8,3,8,0,8
1709,19,2,3,4,2,2,7,7,2,7,11,7,9,2,8,4,8
1710,1,3,9,4,6,3,8,7,0,7,13,6,8,0,8,1,8
1711,23,7,9,6,5,3,4,4,5,5,4,7,8,5,7,2,7
1712,14,7,10,9,8,6,7,7,8,7,6,7,8,5,6,5,9
1713,1,7,14,5,8,2,9,7,6,4,13,3,7,3,7,6,11
1714,0,4,6,5,6,5,5,8,4,7,8,8,9,3,8,7,6
1715,7,2,4,3,3,1,10,2,3,2,10,2,9,2,6,2,8
1716,24,8,13,8,8,4,8,7,3,6,9,7,8,6,11,4,7
1717,16,5,8,8,6,3,7,7,5,2,7,8,8,9,9,0,8
1718,22,4,7,5,9,6,8,6,8,2,5,6,9,3,8,5,10
1719,0,5,10,6,8,4,5,11,1,9,8,11,9,1,10,1,7
1720,25,1,0,2,1,0,7,7,2,11,8,6,8,0,8,6,8
1721,6,5,4,5,6,4,7,9,9,8,7,5,7,2,8,9,9
1722,18,4,6,6,4,3,7,10,3,4,13,6,3,1,10,3,9
1723,20,6,11,6,6,3,5,9,4,3,10,8,5,5,12,2,7
1724,18,2,1,2,1,1,5,11,7,2,9,6,4,1,9,3,8
1725,15,3,6,4,4,2,7,8,14,1,7,5,8,3,8,0,8
1726,10,7,10,10,8,6,9,6,1,8,10,3,7,3,8,3,9
1727,18,4,9,6,6,4,5,10,6,5,10,8,3,1,10,4,6
1728,14,0,0,1,0,0,6,7,5,7,7,6,14,0,8,3,10
1729,4,3,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9
1730,4,3,5,4,4,3,6,7,5,5,9,7,10,2,8,4,10
1731,10,9,11,8,6,3,7,7,2,9,9,6,8,4,9,4,8
1732,25,5,8,6,6,4,7,8,2,10,12,7,6,1,7,6,6
1733,16,6,11,9,8,7,5,9,5,1,7,9,8,8,11,0,7
1734,1,2,8,3,6,1,9,7,0,8,14,5,8,0,8,1,8
1735,25,2,4,4,3,2,8,7,2,9,12,6,7,1,8,5,8
1736,14,2,6,3,4,2,6,8,8,8,9,8,13,1,9,4,10
1737,16,3,7,6,5,4,5,10,2,3,8,9,9,7,11,1,8
1738,4,4,7,5,5,3,6,7,7,7,10,7,9,2,10,4,9
1739,10,3,3,4,4,1,7,7,4,4,7,6,8,3,8,4,8
1740,12,3,7,3,5,2,6,9,9,5,7,5,8,3,8,5,10
1741,1,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
1742,3,5,9,8,7,5,10,7,3,5,10,2,5,6,9,1,7
1743,16,8,10,8,5,4,1,9,3,3,11,12,9,8,10,1,6
1744,24,7,10,10,8,6,4,9,2,7,10,9,10,5,6,4,5
1745,23,4,7,4,5,3,7,6,12,4,7,12,8,3,9,0,8
1746,6,8,12,6,6,4,7,7,5,6,10,5,8,6,6,7,10
1747,15,4,5,6,4,4,7,7,3,6,10,6,8,3,8,3,8
1748,19,4,7,5,5,4,10,6,2,7,11,4,8,4,9,5,12
1749,14,3,7,5,5,5,5,7,3,4,7,6,10,5,10,3,8
1750,22,3,6,4,8,4,8,11,4,3,5,9,11,2,10,5,8
1751,18,6,11,8,8,5,5,11,7,4,11,7,2,1,10,4,6
1752,17,3,7,3,5,1,0,1,5,6,0,0,6,0,8,0,8
1753,19,0,0,1,0,0,5,7,5,6,7,6,12,0,8,6,10
1754,24,1,1,2,1,1,6,7,4,7,7,6,11,3,8,4,9
1755,12,4,4,4,6,3,5,11,8,4,7,2,9,3,7,6,11
1756,11,1,0,1,0,0,7,6,6,3,7,6,7,2,8,3,8
1757,24,4,9,6,7,4,5,7,5,7,6,6,10,4,8,5,9
1758,20,5,6,5,4,2,3,12,4,4,10,12,7,2,10,1,7
1759,13,5,8,7,6,4,7,9,3,6,13,6,5,2,9,3,7
1760,0,2,4,3,3,1,7,11,2,7,6,11,8,1,10,1,8
1761,5,2,6,3,4,2,7,6,5,8,4,6,8,0,9,8,8
1762,22,3,7,4,6,3,8,7,7,4,6,6,9,2,8,4,9
1763,20,2,0,3,1,0,7,9,4,2,7,13,8,2,10,0,8
1764,23,3,6,4,4,2,7,4,14,5,7,12,8,3,9,0,8
1765,18,1,0,2,0,0,5,11,6,1,9,6,5,1,9,3,8
1766,8,1,1,2,3,1,11,6,2,6,12,3,7,0,7,1,8
1767,5,6,9,7,6,4,8,8,4,10,11,4,7,2,6,5,9
1768,9,10,15,12,9,6,10,2,3,2,10,3,9,8,1,1,8
1769,0,3,9,4,7,4,7,11,3,6,7,11,9,2,12,1,8
1770,23,5,6,6,4,3,3,9,5,7,11,11,9,3,9,2,6
1771,13,3,7,3,4,1,1,13,5,4,12,10,7,0,8,2,6
1772,10,3,5,6,3,3,7,7,1,8,10,6,8,2,8,3,8
1773,17,7,11,6,6,3,10,2,4,4,12,5,13,2,7,5,9
1774,10,4,6,5,5,5,8,8,2,4,7,6,8,3,8,7,7
1775,13,7,12,6,6,3,8,8,3,7,12,4,5,2,8,7,7
1776,8,7,8,4,12,4,7,9,3,4,13,4,5,3,8,7,10
1777,0,5,9,5,6,3,5,12,3,8,12,9,4,1,11,2,4
1778,21,3,9,5,6,2,9,11,1,3,5,11,8,1,10,0,8
1779,7,3,8,5,5,2,7,5,3,1,6,1,8,2,7,2,7
1780,13,4,7,6,5,3,5,11,3,5,13,8,5,1,10,2,7
1781,1,2,9,2,7,3,7,7,0,7,7,6,8,0,8,3,8
1782,23,3,2,4,4,2,6,8,6,7,6,9,9,3,9,1,7
1783,1,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8
1784,19,4,5,6,4,5,6,8,4,4,8,7,9,4,11,8,10
1785,15,8,10,11,8,6,7,8,3,7,10,8,8,6,8,5,7
1786,9,4,2,6,3,4,8,6,6,5,6,7,8,8,7,3,6
1787,3,3,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8
1788,5,3,8,4,6,2,7,6,6,10,5,7,10,0,9,9,8
1789,17,10,15,8,8,4,9,2,4,5,12,4,13,2,7,6,8
1790,13,3,5,5,6,4,6,9,3,4,8,7,7,4,10,8,9
1791,15,5,9,8,7,7,8,8,5,7,7,6,7,6,8,4,7
1792,16,5,6,7,5,8,6,7,6,5,6,5,8,8,10,8,10
1793,3,4,7,6,5,3,11,6,4,5,10,1,5,5,9,1,7
1794,15,7,9,10,7,6,5,8,4,7,10,9,10,3,8,3,6
1795,1,2,8,4,6,4,10,6,1,4,8,5,5,3,8,5,7
1796,2,3,5,5,4,3,9,6,4,7,10,4,6,2,8,3,9
1797,2,4,11,5,8,5,5,7,10,7,6,5,6,3,8,3,8
1798,22,4,7,5,7,4,8,7,7,5,6,4,9,2,8,3,8
1799,8,6,7,8,9,7,8,8,4,6,7,6,7,4,8,8,8
1800,20,3,8,5,6,3,6,11,2,3,7,11,9,2,10,1,8
1801,8,2,7,3,5,1,9,6,3,7,12,4,9,0,7,2,6
1802,14,2,4,3,3,2,6,8,7,7,8,7,13,1,9,4,10
1803,11,7,11,7,8,5,8,7,8,5,10,6,8,3,8,3,8
1804,8,7,10,5,8,4,8,10,3,3,13,4,5,2,9,7,9
1805,13,5,6,6,7,6,7,9,6,6,7,6,9,5,8,8,6
1806,0,6,10,6,7,5,5,11,3,7,11,10,5,2,12,2,4
1807,10,3,6,4,4,3,8,7,3,8,6,6,8,2,8,6,8
1808,4,6,10,7,8,4,6,7,7,8,10,7,10,2,10,5,9
1809,5,3,9,4,6,3,8,7,8,7,7,7,9,2,10,9,8
1810,11,2,4,2,3,2,8,7,6,3,9,6,8,2,8,2,8
1811,19,5,8,7,6,4,7,7,3,8,12,7,9,3,8,5,8
1812,12,4,4,4,5,2,5,10,8,4,7,4,8,3,7,6,11
1813,21,4,7,6,5,3,9,10,1,7,3,11,8,1,11,2,9
1814,6,3,6,5,4,4,7,8,5,5,9,6,6,3,8,7,8
1815,0,3,11,4,8,1,5,14,1,6,9,11,7,0,8,0,8
1816,13,4,8,5,6,4,4,11,6,5,11,10,5,2,9,2,5
1817,22,6,9,7,11,8,7,9,5,3,8,10,10,5,8,8,10
1818,12,5,7,8,6,8,9,7,4,4,8,5,7,8,10,7,5
1819,19,3,9,4,6,2,3,7,6,11,7,6,15,0,8,7,7
1820,20,3,5,5,4,2,4,12,3,3,9,11,8,2,11,0,8
1821,11,4,8,5,6,2,8,6,8,7,7,5,8,3,8,4,8
1822,16,12,14,12,8,5,2,9,3,2,10,12,8,9,10,1,6
1823,24,4,2,5,3,3,6,7,4,8,7,6,10,6,8,5,9
1824,7,3,9,6,6,3,11,3,2,2,9,2,9,3,5,3,8
1825,23,5,7,6,5,3,4,8,6,8,10,10,9,3,9,2,5
1826,10,4,10,6,7,6,7,7,2,6,7,6,7,4,7,6,7
1827,16,6,9,9,7,7,4,10,2,3,8,9,9,10,9,1,8
1828,9,7,10,10,8,9,11,6,2,5,9,4,6,10,7,2,8
1829,17,3,8,4,6,1,0,0,6,6,0,1,5,0,8,0,8
1830,22,4,9,6,8,3,9,8,8,6,5,8,9,3,8,5,9
1831,15,6,9,6,4,3,9,6,4,4,9,7,8,6,12,4,9
1832,3,1,0,1,0,0,7,7,9,0,6,6,8,3,8,0,8
1833,3,4,8,6,6,3,5,9,3,4,10,9,9,5,8,1,7
1834,22,2,2,3,3,2,8,8,6,1,5,6,9,2,9,4,10
1835,19,5,8,7,6,6,6,8,3,7,11,9,9,3,8,5,6
1836,24,2,6,3,4,2,3,7,6,2,7,6,10,3,8,2,11
1837,4,3,6,4,4,4,7,8,5,3,6,6,10,3,8,6,8
1838,1,2,8,3,6,1,7,7,0,8,14,6,9,0,8,1,8
1839,14,4,9,6,7,4,5,8,6,6,8,8,15,3,10,4,9
1840,19,2,4,2,3,2,7,7,5,6,7,6,8,2,8,5,11
1841,4,2,1,3,2,1,6,7,5,5,6,6,9,2,9,4,8
1842,6,3,5,5,4,4,9,6,3,6,10,5,7,2,8,5,10
1843,0,4,10,6,8,4,6,12,3,7,7,12,8,2,12,1,7
1844,18,2,3,4,2,2,8,8,3,3,12,4,5,1,9,2,8
1845,8,4,9,6,7,3,6,7,3,5,15,6,10,1,6,1,7
1846,9,2,3,3,1,2,6,6,6,4,7,7,10,6,5,1,9
1847,23,4,3,4,2,2,5,8,5,7,10,9,9,3,9,2,6
1848,17,7,10,9,8,7,6,7,7,7,6,6,8,6,8,5,10
1849,3,5,7,7,5,3,5,9,3,5,10,9,9,6,7,1,7
1850,16,5,10,8,8,13,9,7,5,2,7,7,8,10,10,3,5
1851,1,7,12,5,6,2,10,5,6,4,13,3,9,3,8,4,9
1852,20,10,15,10,8,5,6,8,4,4,8,8,5,6,12,4,6
1853,25,6,9,8,7,4,9,6,3,10,11,4,9,1,7,6,8
1854,9,5,5,6,8,4,8,7,12,2,6,9,8,9,6,0,8
1855,19,5,5,5,7,3,3,8,6,12,7,5,15,0,8,7,7
1856,7,2,2,4,3,2,8,2,2,2,8,2,8,2,6,3,7
1857,9,4,7,8,5,8,10,6,3,3,9,4,7,10,5,3,6
1858,2,1,0,2,0,0,6,7,7,6,7,6,6,2,8,3,8
1859,25,5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8
1860,3,8,11,11,8,6,12,7,3,6,10,0,3,7,11,2,8
1861,8,2,5,5,3,1,8,6,3,7,15,6,10,1,6,1,7
1862,21,6,11,9,8,8,8,4,6,5,8,7,8,6,8,8,3
1863,10,4,9,6,7,4,8,7,4,9,6,6,6,3,8,7,7
1864,6,2,3,4,2,2,8,7,3,5,10,5,6,2,8,4,9
1865,7,3,11,5,8,4,12,3,3,3,10,1,9,2,6,3,8
1866,0,5,7,6,5,6,6,8,4,6,7,6,10,5,8,5,7
1867,15,3,2,4,4,3,7,7,5,6,7,6,8,6,8,4,8
1868,15,4,9,5,6,2,7,6,15,1,7,8,8,3,8,0,8
1869,15,3,7,3,4,2,7,6,14,1,7,7,8,3,8,0,8
1870,21,4,5,5,7,5,10,11,5,4,5,8,8,5,10,9,5
1871,20,4,6,4,4,2,3,11,4,3,10,12,7,2,10,1,8
1872,24,5,11,6,8,2,4,6,9,2,7,7,12,4,8,3,11
1873,10,3,7,5,5,2,9,7,1,8,10,4,7,3,8,3,8
1874,22,5,8,6,7,3,9,8,8,6,5,8,9,3,7,5,9
1875,5,5,8,6,6,4,8,8,4,8,10,4,6,2,7,5,8
1876,14,4,9,5,6,3,4,8,5,6,12,10,12,2,9,2,7
1877,6,1,0,2,1,1,7,7,7,5,6,6,7,1,8,7,9
1878,6,5,11,7,8,7,8,7,7,7,6,6,5,2,8,8,10
1879,15,5,9,7,6,4,7,6,3,7,10,8,9,3,8,3,7
1880,10,3,5,5,4,3,7,7,3,9,6,6,8,3,8,6,8
1881,15,3,7,4,4,2,7,7,14,1,7,6,8,3,8,0,8
